Depth_m,Soil_Type,Approx_Hardness_MPa
664.6914002394288,Magnetite Ore,170.34826773073164
647.5961316587372,Magnetite Ore,171.33885436888235
609.6630238787084,Basalt,164.04845397588812
373.2084675245065,Hematite Ore,140.56909206231617
710.580544839113,Magnetite Ore,165.3784383879336
723.3345188386909,Basalt,159.5998894361012
46.971299904497954,Gravel,30.257208945219404
783.2224224666807,Basalt,151.52584153755507
612.0601781885836,Magnetite Ore,166.48925291644628
610.469946226905,Magnetite Ore,170.58259756985146
585.9589535325684,Magnetite Ore,167.91265032774018
658.6284449254576,Basalt,163.1660531376392
370.54360971921136,Banded Iron Formation,120.7503539305542
382.91714672756314,Hematite Ore,156.1088250111286
677.6791891809731,Magnetite Ore,164.7421110414878
548.4780524154176,Magnetite Ore,169.9003968388938
491.0258183975775,Banded Iron Formation,119.79601734226588
687.6907762166235,Magnetite Ore,168.0383254611844
480.4575166540592,Banded Iron Formation,118.87151761724773
541.3587608006828,Basalt,154.96218249443297
38.13290272015317,Sand,10.42360946169901
104.01058104762359,Dolomite,61.04906212743959
647.4682014546606,Magnetite Ore,172.23708777645115
421.6270559091403,Hematite Ore,149.28833934544258
756.3617408987974,Magnetite Ore,160.7151781599124
9.11572544656396,Clay,10.899681650160268
119.7574949142294,Dolomite,54.166508083191914
98.4900866118978,Dolomite,60.32964466277503
95.04844459122017,Shale,34.48558734900913
30.524295130212398,Sand,4.0793533785129155
498.28060411111574,Hematite Ore,150.48364662582446
386.0233670382745,Hematite Ore,152.82040281405978
213.91012300033853,Banded Iron Formation,127.38659365538207
234.4024761625942,Hematite Ore,154.07902637348846
617.5199914401696,Basalt,160.9436644947338
489.58569515235445,Banded Iron Formation,120.47766491745105
246.31202553914528,Banded Iron Formation,122.86755830690049
225.14115212711533,Hematite Ore,146.7666482476785
424.1027364579935,Hematite Ore,154.5669096631014
215.43861310091376,Hematite Ore,149.67432811466136
409.36661799706206,Hematite Ore,144.7090112773315
613.8686061699261,Magnetite Ore,165.468830679997
84.09351436048178,Shale,40.107315944475054
233.9674678583485,Hematite Ore,139.33333275405602
84.35530853796864,Dolomite,65.73277749714879
748.8500411472323,Magnetite Ore,165.6831221110115
127.16313748853088,Quartzite,91.57530711592581
256.40484341742217,Banded Iron Formation,114.6929620127537
368.84229426612893,Hematite Ore,152.8602518220656
601.1809399557419,Magnetite Ore,167.64927839071802
476.138796320223,Hematite Ore,138.87066919376312
682.8691652817507,Magnetite Ore,172.22762020353844
467.6658107868551,Hematite Ore,140.99148718965006
168.8459305809987,Quartzite,88.48985014259014
767.9517467616167,Basalt,160.41198132072023
764.0496170398243,Magnetite Ore,170.1750845286189
314.30217884071567,Hematite Ore,147.72021931381155
568.374677153791,Basalt,164.87590559999097
268.0595572273825,Hematite Ore,145.78847532780185
449.89358491940135,Hematite Ore,153.07899583854362
610.9312365746317,Magnetite Ore,170.3710485738466
634.373514509243,Basalt,163.47817922788477
642.262947055892,Magnetite Ore,173.3918935777274
103.0770158041169,Quartzite,91.53672524030543
144.06301480439137,Dolomite,54.14689734614356
512.8436194895812,Basalt,159.83820417536452
487.0019242405205,Hematite Ore,154.16066288515458
345.07602945947997,Banded Iron Formation,118.13018564378702
425.91409757087695,Hematite Ore,146.93270330729237
611.4424490951274,Magnetite Ore,174.31013336994317
782.6314226147867,Basalt,164.4652668676215
517.1159331518812,Magnetite Ore,176.5814278809499
769.6598516235621,Basalt,162.761834883905
726.9143823049492,Basalt,160.81536177128092
323.19132143295803,Hematite Ore,145.52791347014195
17.46994304560987,Laterite,32.09923311709286
93.91942942373043,Shale,42.630504691991355
518.1202636542971,Basalt,156.00150201880805
196.81277730387583,Shale,29.627135622489625
539.1060147603486,Basalt,163.35336234305308
16.657131209946563,Clay,4.879145884644171
615.3710400101661,Basalt,155.37915808664664
203.856231294818,Hematite Ore,153.89085910011013
112.11875266035429,Shale,49.17529029460043
40.400645787588196,Sand,12.292311491693377
328.91177635220873,Hematite Ore,150.93563286851418
332.0055693930867,Hematite Ore,153.40958080122988
58.23825365725561,Laterite,27.489498204735327
198.7302896068871,Quartzite,98.33958588239719
297.30236923286293,Hematite Ore,149.00929138174018
115.76339762850951,Dolomite,67.91812335068357
310.4392007120531,Banded Iron Formation,123.60795454756703
686.0194887466041,Basalt,154.29721156529442
315.9366247421264,Hematite Ore,150.4117310872894
494.72829456225395,Banded Iron Formation,117.19817653881614
39.72049030393245,Gravel,13.430297915503182
47.00305699792642,Laterite,31.474163729539217
304.41955638633465,Hematite Ore,152.7347034726549
186.5988428400029,Quartzite,83.71921071133916
723.1613023965049,Basalt,168.59615948894452
603.6331593982012,Basalt,151.2477138154928
506.7379446966975,Magnetite Ore,164.84033670467753
299.0354554516546,Hematite Ore,145.5204440686492
181.95340289939548,Quartzite,89.4432121791406
293.74955645039637,Banded Iron Formation,122.17510115306541
475.2461824797783,Hematite Ore,154.27829543996518
611.7407297611352,Basalt,160.21161217236445
432.6699012551801,Hematite Ore,160.57219645031026
114.32112243679695,Dolomite,61.91610062046637
755.5738050990477,Basalt,167.6182107752837
713.5529774650028,Basalt,156.31452350393562
710.2568651092414,Basalt,149.59159337321574
659.8720242596924,Basalt,163.5080375466088
299.5803014373518,Banded Iron Formation,118.64032524171
363.9898752256509,Hematite Ore,151.4201018732619
112.01208084090402,Dolomite,61.601696303585726
790.3163867884725,Basalt,156.55213941203382
392.94493351008606,Banded Iron Formation,121.29999786532767
160.58824321307483,Shale,43.66781871412982
212.80413461247676,Banded Iron Formation,120.67921130579572
39.69631445947481,Gravel,21.146285489164757
155.16084883271165,Quartzite,93.16661738094955
576.6689206958554,Basalt,163.1012730137387
598.5192505354937,Basalt,155.12278018945423
539.684187325855,Magnetite Ore,178.42234824234538
773.1461070538173,Basalt,159.25212934832024
