Rock_Type,Depth_m,UPV,SHR,EM_Response,Fracture_Density,Moisture,Compressive_Strength,X,Y,Z,Speed_mps,Battery_%,Load_tons,Gas_ppm,Temperature_C,Dust_ug_m3,Vibration,Obstacle,Collapse_Risk
Limestone,948.6838325522991,2530.302403318701,38.344629106916145,44.08765033221574,0.21122117582630162,0.0008654248650090679,148.7158532757132,183.6015819284853,926.2556976151427,-948.6838325522991,3.9561729146666416,22.59317378296742,41.00937182442428,96.80891616060505,42.47026407030623,156.09040896264176,8.42767763438643,1,0.2582995447514676
Sandstone,495.6599096653877,813.0369290619683,24.893736426022485,59.38641052380426,0.1387989755543485,0.10614473197821224,63.4922505295843,189.56957970862643,672.5969711158963,-495.6599096653877,5.6947378362521315,57.33905718466744,33.458095744612635,143.99172256369138,34.203165292195735,366.138677271813,7.666854215544068,0,0.4155166015433252
Granite,378.1492309265352,4270.436413205602,56.309406335081015,126.03504438648044,0.8659073135130612,0.027024962345597016,203.95430768256128,251.58903830627932,525.5804040419978,-378.1492309265352,3.9067036418323866,70.19182903265747,15.112945368216286,163.73554359427393,43.037702190875756,371.4331505764347,3.2728887025504494,0,0.8440465706087386
Basalt,229.28624761805565,4722.521003230078,29.241422483975914,58.998955456432384,0.9502559746353826,0.3169566991684719,197.89369724126342,377.53397720506564,532.4415490412896,-229.28624761805565,1.6721404778773596,97.88222437212612,33.571351443053715,32.40593915301311,18.659230019113767,486.76628207417656,7.512001330671727,0,0.6589488992526517
Sandstone,721.6799778600065,4000.032009957739,61.77115402796156,169.57488956115253,0.3922353763023506,0.28315364485889066,244.96108900113737,749.1618938493752,641.8586124568519,-721.6799778600065,7.758764208840797,35.761169991007584,11.042957213325998,181.77002454383012,16.80592348808656,62.31939835469647,8.338536975950342,0,0.7144846248622385
Limestone,95.40677080922143,4218.747159940999,60.07290810808956,185.53586448861302,0.80726832660244,0.12410658785456863,250.02886801107056,68.74941958607062,115.21671215835005,-95.40677080922143,6.120885893211235,77.64587550353981,39.03153357644258,169.90533100495725,29.143066494181003,436.9723519805144,0.6714860249128018,0,0.8416822711373718
Granite,849.9803939841648,3616.0552872968346,40.2646957477544,34.61668967850351,0.00606455320625876,0.3861486607171584,164.00487593416833,121.76190723940483,492.5849671830551,-849.9803939841648,5.668698985004347,64.57996189514044,33.34678549967477,73.02352839535338,34.10433986958756,129.70779840164226,7.935486658293515,0,0.3230705024317184
Limestone,811.9978743046402,1192.9331840544535,47.902427232280445,151.4198370962311,0.6051460170058788,0.31446838326693616,123.62709583286808,558.3205069654483,645.1380735447149,-811.9978743046402,0.48135508855848386,63.046895650750855,38.01782916969852,175.92022819423602,19.237757935022085,317.7807607674909,6.788247195522594,1,0.8534601033261883
Sandstone,69.26524901296168,2697.1105385522405,31.397051643731153,34.04829642140966,0.04763565379997503,0.09431066602037906,142.03464560118113,319.2347383942119,724.5305989242908,-69.26524901296168,4.5628815796909015,45.06184827646151,1.915957723387196,153.24699700157188,30.025059554237487,358.37598102543524,6.0548985782893645,0,0.5035062227347945
Basalt,703.7442979769999,2320.2367107672694,15.776435449029506,149.21025918700371,0.29386249284248733,0.05586796758735906,119.63145481462351,690.9236798661032,253.77845705605762,-703.7442979769999,4.755508813226413,51.75451299801651,31.301246829139018,93.94860370063527,42.914538151120645,174.91164928179487,7.022046519040917,0,0.2888477123428537
