Block_ID,X,Y,Z,Rock_Type,Ore_Grade (%),Tonnage,Ore_Value (¥/tonne),Mining_Cost (¥),Processing_Cost (¥),Waste_Flag,Profit (¥),Target
B00001,102,186,6,Magnetite,51.93,2131,294.48,53,38,0,433615.88000000006,1
B00002,435,448,82,Hematite,59.05,1550,273.0,36,33,0,316200.0,1
B00003,348,476,94,Magnetite,63.79,2414,338.36,57,28,0,611611.04,1
B00004,270,127,98,Hematite,64.98,1297,307.6,30,29,0,322434.2,1
B00005,106,111,92,Waste,0.0,1309,0.0,67,28,1,-124355.0,0
B00006,71,492,46,Magnetite,64.42,1235,296.51,34,27,0,290854.85,1
B00007,188,293,32,Magnetite,52.46,2706,320.2,45,27,0,671629.2,1
B00008,20,421,21,Hematite,51.22,1708,265.87,41,23,0,344793.96,1
B00009,102,148,66,Magnetite,51.8,1725,252.86,48,21,0,317158.5,1
B00010,121,150,76,Waste,0.0,1865,0.0,58,31,1,-165985.0,0
B00011,466,173,12,Hematite,64.65,2827,269.04,62,31,0,497665.0800000001,1
B00012,214,196,55,Magnetite,50.2,1280,305.77,30,25,0,320985.6,1
B00013,330,254,76,Hematite,57.21,1595,283.33,34,28,0,353021.35,1
B00014,458,413,11,Magnetite,58.43,1104,271.21,30,20,0,244215.83999999997,1
B00015,87,167,4,Magnetite,63.96,2403,267.33,68,36,0,392481.99,1
B00016,372,81,76,Waste,0.0,2305,0.0,65,26,1,-209755.0,0
B00017,99,69,54,Hematite,60.9,1395,338.05,44,24,0,376719.75,1
B00018,359,324,75,Magnetite,54.14,1519,317.38,53,35,0,348428.22,1
B00019,151,425,73,Hematite,64.67,1762,269.89,55,32,0,322252.18,1
B00020,130,401,14,Waste,0.0,1661,0.0,39,35,1,-122914.0,0
B00021,149,442,65,Hematite,56.53,2759,294.79,44,22,0,631231.6100000001,1
B00022,308,12,37,Hematite,59.24,2786,326.85,69,20,0,662650.1000000001,1
B00023,257,118,79,Magnetite,53.33,1276,340.23,39,20,0,358849.48000000004,1
B00024,343,211,96,Magnetite,55.93,2244,342.68,38,22,0,634333.92,1
B00025,491,101,97,Magnetite,60.32,2557,344.0,49,39,0,654592.0,1
B00026,413,276,54,Magnetite,56.45,1126,344.68,34,23,0,323927.68,1
B00027,293,195,88,Waste,0.0,2254,0.0,39,37,1,-171304.0,0
B00028,385,76,54,Magnetite,61.23,2356,313.12,44,20,0,586926.72,1
B00029,191,337,46,Magnetite,63.52,2296,305.06,67,35,0,466225.76,1
B00030,443,332,89,Magnetite,64.15,2666,292.59,48,35,0,558766.94,1
B00031,276,204,13,Hematite,60.58,2058,330.65,62,36,0,478793.69999999995,1
B00032,160,486,14,Hematite,56.57,1362,268.26,58,38,0,234618.12,1
B00033,459,228,34,Magnetite,55.71,2111,257.09,58,35,0,346393.98999999993,1
B00034,313,188,30,Magnetite,55.08,2789,303.18,63,23,0,605715.02,1
B00035,21,98,33,Waste,0.0,1564,0.0,41,25,1,-103224.0,0
B00036,252,421,72,Waste,0.0,2222,0.0,69,35,1,-231088.0,0
B00037,235,423,6,Waste,0.0,2257,0.0,59,29,1,-198616.0,0
B00038,344,410,37,Waste,0.0,2760,0.0,38,29,1,-184920.0,0
B00039,48,441,0,Magnetite,55.38,2218,263.06,41,32,0,421553.08,1
B00040,474,217,86,Waste,0.0,2363,0.0,64,39,1,-243389.0,0
B00041,58,459,13,Hematite,63.3,2187,335.7,31,32,0,596394.9,1
B00042,169,193,24,Hematite,58.76,1614,272.81,39,27,0,333791.34,1
B00043,475,42,7,Magnetite,64.48,1322,253.17,42,21,0,251404.74,1
B00044,187,377,39,Waste,0.0,2643,0.0,32,36,1,-179724.0,0
B00045,463,123,5,Hematite,53.96,1996,298.89,31,34,0,466844.43999999994,1
B00046,270,19,78,Hematite,59.9,1206,265.23,42,38,0,223387.38000000003,1
B00047,189,418,19,Hematite,59.81,2035,275.23,37,37,0,409503.05000000005,1
B00048,445,310,80,Hematite,58.17,1279,302.79,36,32,0,300296.41000000003,1
B00049,174,329,95,Magnetite,52.76,1487,345.01,57,36,0,374738.87,1
B00050,445,327,58,Waste,0.0,2457,0.0,44,38,1,-201474.0,0
B00051,50,167,5,Hematite,59.02,1753,286.98,61,39,0,327775.94000000006,1
B00052,363,45,38,Magnetite,62.24,1594,262.63,58,24,0,287924.22,1
B00053,54,483,91,Magnetite,61.56,1467,253.81,67,20,0,244710.27,1
